occ,occtitle,low_wfh,low_wfh_binary,pp,high_pp_binary
10,Chief executives,0,HWFH,.35055003,LPP
20,General and operations managers,.083333336,HWFH,.46751621,LPP
40,Advertising and promotions managers,0,HWFH,.35084838,LPP
50,Marketing and sales managers,0,HWFH,.37544966,LPP
60,Public relations and fundraising managers,.083333336,HWFH,.25512096,LPP
100,Administrative services managers,0,HWFH,.34486541,LPP
110,Computer and information systems managers,0,HWFH,.29401028,LPP
120,Financial managers,0,HWFH,.3250151,LPP
135,Compensation and benefits managers,0,HWFH,.19229983,LPP
136,Human resources managers,0,HWFH,.29101872,LPP
137,Training and development managers,0,HWFH,.35982281,LPP
140,Industrial production managers,.25,LWFH,.38668337,LPP
150,Purchasing managers,0,HWFH,.29101872,LPP
160,"Transportation, storage, and distribution managers",0,HWFH,.3662855,LPP
205,"Farmers, ranchers, and other agricultural managers",.33333334,LWFH,.47522268,LPP
220,Construction managers,.16666667,HWFH,.40469509,LPP
230,Education administrators,.083333336,HWFH,.41583186,LPP
300,Architectural and engineering managers,0,HWFH,.3334156,LPP
310,Food service managers,.33333334,LWFH,.73674965,HPP
325,Funeral service managers,.16666667,LWFH,.5213629,LPP
330,Gaming managers,.16666667,LWFH,.70982629,HPP
340,Lodging managers,.083333336,HWFH,.39572063,LPP
350,Medical and health services managers,0,HWFH,.34486541,LPP
360,Natural sciences managers,0,HWFH,.31903332,LPP
400,Postmasters and mail superintendents,0,HWFH,.47349918,LPP
410,"Property, real estate, and community association managers",.16666667,LWFH,.41666099,LPP
420,Social and community service managers,.083333336,HWFH,.30298471,LPP
425,Emergency management directors,.083333336,HWFH,.42862692,LPP
430,"Managers, all other",0,HWFH,.39129451,LPP
500,"Agents and business managers of artists, performers, and athletes",0,HWFH,.32093358,LPP
530,"Unemployed, with no work experience in the last 5 years or earlier or never worked",0,HWFH,.39262897,LPP
540,"Claims adjusters, appraisers, examiners, and investigators",.083333336,HWFH,.37763548,LPP
565,Compliance officers,.083333336,HWFH,.51933372,LPP
600,Cost estimators,0,HWFH,.33589098,LPP
630,Human resources workers,0,HWFH,.31383336,LPP
640,"Compensation, benefits, and job analysis specialists",0,HWFH,.19229983,LPP
650,Training and development specialists,0,HWFH,.51238841,LPP
700,Logisticians,0,HWFH,.43755358,LPP
710,Management analysts,0,HWFH,.29999322,LPP
725,"Meeting, convention, and event planners",.083333336,HWFH,.66495401,HPP
726,Fundraisers,.083333336,HWFH,.27306983,LPP
735,Market research analysts and marketing specialists,0,HWFH,.23418061,LPP
740,"Business operations specialists, all other",0,HWFH,.41625887,LPP
800,Accountants and auditors,0,HWFH,.32452959,LPP
810,Appraisers and assessors of real estate,.083333336,HWFH,.34689826,LPP
820,Budget analysts,0,HWFH,.32093358,LPP
830,Credit analysts,0,HWFH,.39572063,LPP
840,Financial analysts,0,HWFH,.36879733,LPP
850,Personal financial advisors,.083333336,HWFH,.24315505,LPP
860,Insurance underwriters,0,HWFH,.42563543,LPP
900,Financial examiners,0,HWFH,.49144804,LPP
910,Credit counselors and loan officers,.083333336,HWFH,.31244934,LPP
930,"Tax examiners and collectors, and revenue agents",.083333336,HWFH,.48247361,LPP
940,Tax preparers,.083333336,HWFH,.46452475,LPP
950,"Financial specialists, all other",0,HWFH,.36994335,LPP
1005,Computer and information research scientists,0,HWFH,.1952913,LPP
1006,Computer systems analysts,0,HWFH,.43851343,LPP
1007,Information security analysts,0,HWFH,.42264396,LPP
1010,Computer programmers,0,HWFH,.27306983,LPP
1020,"Software developers, applications and systems software",0,HWFH,.38224354,LPP
1030,Web developers,0,HWFH,.32990801,LPP
1050,Computer support specialists,0,HWFH,.54584318,LPP
1060,Database administrators,0,HWFH,.42264396,LPP
1105,Network and computer systems administrators,.083333336,HWFH,.44956735,LPP
1106,Computer network architects ,0,HWFH,.3556926,LPP
1107,"Computer occupations, all other",0,HWFH,.35263786,LPP
1200,Actuaries,0,HWFH,.22819765,LPP
1210,Mathematicians,0,HWFH,.27905279,LPP
1220,Operations research analysts,0,HWFH,.29999322,LPP
1230,Statisticians,0,HWFH,.26668406,LPP
1300,"Architects, except naval",0,HWFH,.42625743,LPP
1310,"Surveyors, cartographers, and photogrammetrists",.16666667,HWFH,.36553583,LPP
1320,Aerospace engineers,0,HWFH,.4017036,LPP
1330,Agricultural engineers,.083333336,HWFH,.34785691,LPP
